ID,UTTERANCES,IOB SLOT TAGS
1104,find movies from miramax,O O O B_producer
1105,see miramax movies,O B_producer O
1106,watch miramax,O B_producer
1107,find movies with sandra bullock,O O O B_cast I_cast
1108,find sandra bullock movies,O B_person I_person O
1109,movies with sandra bullock,O O B_cast I_cast
1110,movies with vampires,O O B_subject
1111,what movies about vampires are there,O O O B_subject O O
1112,movies will smith stars in,O B_cast I_cast O O
1113,show me will smith movies,O O B_person I_person O
1114,what experience does darla anderson have as a producer,O O O B_producer I_producer O O O O
1115,look for movies directed by tyler perry,O O O O O B_director I_director
1116,which movies are directed by tyler perry,O O O O O B_director I_director
1117,give me movies directed by tyler perry,O O O O O B_director I_director
1118,search for movies directed by tyler perry,O O O O O B_director I_director
1119,what films has selena gomez been in,O O O B_cast I_cast O O
1120,find a movie with mel gibson,O O O O B_cast I_cast
1121,only mel gibson movies,O B_person I_person O
1122,find movies produced by paramount pictures,O O O O B_producer I_producer
1123,i want to see paramount movies,O O O O B_producer O
1124,i would like a list of paramount movies,O O O O O O B_producer O
1125,list some paramount produced films,O O B_producer O O
1126,show all movies by paramount,O O O O B_producer
1127,show me all the movies made by paramount,O O O O O O O B_producer
1128,show only paramount movies,O O B_producer O
1129,is there a list of movies about chess,O O O O O O O B_subject
1130,movies about chess,O O B_subject
1131,movies regarding the hobby of chess,O O O O O B_subject
1132,list some of the best world war 2 films,O O O O O B_subject I_subject I_subject O
1133,find movies about dogs,O O O B_subject
1134,find movies with a nc 17 only,O O O O B_mpaa_rating I_mpaa_rating O
1135,find me nc-17 movies,O O B_mpaa_rating O
1136,show me nc seventeen movies,O O B_mpaa_rating I_mpaa_rating O
1137,play movies from turkey,O O O B_country
1138,what movies have come out of turkey,O O O O O O B_country
1139,can i have a list of bruce lee produced movies,O O O O O O B_producer I_producer O O
1140,can you give me a list of movies produced by bruce lee,O O O O O O O O O O B_producer I_producer
1141,show me movies produced by bruce lee,O O O O O B_producer I_producer
1142,i want to see movies directed by michael bay,O O O O O O O B_director I_director
1143,what movies did michael bay direct,O O O B_director I_director O
1144,ed harris films,B_person I_person O
1145,show me all movies that star ed harris,O O O O O O B_cast I_cast
1146,more stuff about the movie go,O O O O O B_movie
1147,is parenthood a comedy,O B_movie O B_genre
1148,find movies produced by mel gibson,O O O O B_producer I_producer
1149,what movies has jerry bruckheimer produced,O O O B_producer I_producer O
1150,i want to see chinese movies,O O O O B_country O
1151,show me chinese movies,O O B_country O
1152,show me dramas from china,O O B_genre O B_country
1153,i want to watch a drama made in china,O O O O O B_genre O O B_country
1154,give me the best baseball movies,O O O O B_subject O
1155,list movies filmed in ireland,O O O O B_location
1156,list all the movies john travolta has done,O O O O B_person I_person O O
1157,columbia production company movies,B_producer O O O
1158,find me 20 th century fox films,O O B_producer I_producer I_producer I_producer O
1159,list of 20 th century fox films,O O B_producer I_producer I_producer I_producer O
1160,watch century fox movies,O B_producer I_producer O
1161,films produced by twentieth century fox,O O O B_producer I_producer I_producer
1162,find movies by twentieth century fox,O O O B_producer I_producer I_producer
1163,find twentieth century fox movies,O B_producer I_producer I_producer O
1164,search twentieth century fox,O B_producer I_producer I_producer
1165,show me movies by twentieth century fox,O O O O B_producer I_producer I_producer
1166,show me elvis movies,O O B_person O
1167,do you have any pg thirteen rated movies,O O O O B_mpaa_rating I_mpaa_rating O O
1168,show me pg thirteen movies,O O B_mpaa_rating I_mpaa_rating O
1169,what movies are rated pg thirteen,O O O O B_mpaa_rating I_mpaa_rating
1170,find pg thirteen movies,O B_mpaa_rating I_mpaa_rating O
1171,show me movies that are rated pg thirteen,O O O O O O B_mpaa_rating I_mpaa_rating
1172,list all movies rated pg-13,O O O O B_mpaa_rating
1173,find movies with pg-13 only,O O O B_mpaa_rating O
1174,i need to know names of some movies which have a rating of pg-13,O O O O O O O O O O O O O B_mpaa_rating
1175,i want to find pg-13 rated movies,O O O O B_mpaa_rating O O
1176,pg-13 movies,B_mpaa_rating O
1177,which movies are rated pg-13,O O O O B_mpaa_rating
1178,find a pg-13 movie,O O B_mpaa_rating O
1179,find me pg-13 movies,O O B_mpaa_rating O
1180,find movies that are rated pg-13,O O O O O B_mpaa_rating
1181,give me a list of some movies that have pg-13 rating,O O O O O O O O O B_mpaa_rating O
1182,i want to see a list of g rated movies,O O O O O O O B_mpaa_rating O O
1183,list g,O B_mpaa_rating
1184,what is a list of g movies,O O O O O B_mpaa_rating O
1185,are there any g movies out there right now,O O O B_mpaa_rating O O O O O
1186,find me movies rated g,O O O O B_mpaa_rating
1187,find movies only g,O O O B_mpaa_rating
1188,get me only g-rated movies,O O O B_mpaa_rating O
1189,i want a list of movies rated g,O O O O O O O B_mpaa_rating
1190,i want to see g -rated films now,O O O O B_mpaa_rating O O O
1191,i want to take my kids to a g movie,O O O O O O O O B_mpaa_rating O
1192,list of g movies,O O B_mpaa_rating O
1193,list rating g,O O B_mpaa_rating
1194,listing of g movies,O O B_mpaa_rating O
1195,look for movies rated g,O O O O B_mpaa_rating
1196,look up movies with a g rating,O O O O O B_mpaa_rating O
1197,play list g,O O B_mpaa_rating
1198,please select the option to search for g rated movies,O O O O O O O B_mpaa_rating O O
1199,rating g,O B_mpaa_rating
1200,search for movies rated g,O O O O B_mpaa_rating
1201,show me g rated movies,O O B_mpaa_rating O O
1202,show only g rated movies,O O B_mpaa_rating O O
1203,what available movies are rated g,O O O O O B_mpaa_rating
1204,what movies are currently playing that are rated g,O O O O O O O O B_mpaa_rating
1205,find me movies rated g,O O O O B_mpaa_rating
1206,find movies that are rated g,O O O O O B_mpaa_rating
1207,find movies with g rating,O O O B_mpaa_rating O
1208,g movies,B_mpaa_rating O
1209,it is hard to find a movie that is rated g anymore,O O O O O O O O O O B_mpaa_rating O
1210,list movies rated g,O O O B_mpaa_rating
1211,only movies rated g,O O O B_mpaa_rating
1212,rating g list,O B_mpaa_rating O
1213,show me g movies,O O B_mpaa_rating O
1214,there are several g movies,O O O B_mpaa_rating O
1215,appropriate for kids,O O O
1216,what movies can young children watch,O O O O O O
1217,watch pg and g movies,O B_mpaa_rating O B_mpaa_rating O
1218,did robert wise direct any other musical films,O B_director I_director O O O B_genre O
1219,find love stories,O B_subject O
1220,find love stories,O B_subject O
1221,show me a list of movies produced by mgm,O O O O O O O O B_producer
1222,movies from the uk,O O O B_country
1223,show me british films,O O B_country O
1224,list uk movies,O B_country O
1225,get films from the united kingdom,O O O O B_country I_country
1226,i want to watch a comedy made in norway,O O O O O B_genre O O B_country
1227,get me a list of movies that ron howard produce,O O O O O O O B_producer I_producer O
1228,ron howard movies produce list,B_producer I_producer O O O
1229,list movies directed by clint eastwood,O O O O B_director I_director
1230,show director clint eastwood movies,O O B_director I_director O
1231,what movies did clint eastwood direct,O O O B_director I_director O
1232,movies directed by clint eastwood,O O O B_director I_director
1233,list movies produced by sean penn,O O O O B_producer I_producer
1234,find movies about vietnam,O O O B_subject
1235,what movies has spielberg been a producer on,O O O B_producer O O O O
1236,i would like to select the option to search for movies produced by stephen spielberg,O O O O O O O O O O O O O O B_producer
1237,please list all movies that stephen spielberg produced,O O O O O O B_producer O
1238,select the option to search for movies produced by stephen spielberg,O O O O O O O O O O B_producer
1239,which productions are from stephen spilberg,O O O O B_producer I_producer
1240,find movies produced by steven spielberg,O O O O B_producer I_producer
1241,list steven spielberg produced movies,O B_producer I_producer O O
1242,show me movies produced by stephen spielberg,O O O O O B_producer I_producer
1243,was kevin james in hitch,O B_cast I_cast O B_movie
1244,was will smith in hitch,O B_cast I_cast O B_movie
1245,show me a list of disney movies,O O O O O B_producer O
1246,give me a list of some movies by producer walt disney,O O O O O O O O O B_producer I_producer
1247,list all movies that walt disney produced,O O O O B_producer I_producer O
1248,show all movies directed by ron howard,O O O O O B_director I_director
1249,what movies has ron howard directed,O O O B_director I_director O
1250,find movies by ron howard,O O O B_director I_director
1251,show movies directed by ron howard,O O O O B_director I_director
1252,find movies produced by brian glazer,O O O O B_producer I_producer
1253,list spielberg movies,O B_director O
1254,show spielberg movies,O B_director O
1255,what did spielberg direct,O O B_director O
1256,stephen spielberg movies,B_director I_director O
1257,filmography for steven spielberg,O O B_director I_director
1258,find movies directed by steven spielberg,O O O O B_director I_director
1259,find steven spielberg movies,O B_director I_director O
1260,i want to find movies directed by stephen speilberg,O O O O O O O B_director I_director
1261,list all steven spielberg movies,O O B_director I_director O
1262,please find the movies by steven spielberg,O O O O O B_director I_director
1263,show films by steven spielberg,O O O B_director I_director
1264,show steven spielberg movies,O B_director I_director O
1265,show steven spielberg movies,O B_director I_director O
1266,steven spielberg movies,B_director I_director O
1267,steven spielberg pictures,B_director I_director O
1268,what movies has steven spielberg done,O O O B_director I_director O
1269,find movies directed by steven spielberg,O O O O B_director I_director
1270,movie by steven spielberg,O O B_director I_director
1271,movie stuff for steven spielberg,O O O B_director I_director
1272,movies by steven spielberg,O O B_director I_director
1273,movies directed by steven spielberg,O O O B_director I_director
1274,can i see what movies steven spielberg has done,O O O O O B_director I_director O O
1275,can you find movies with steven spielberg,O O O O O B_director I_director
1276,spielberg movies,B_director O
1277,videos of steven spielberg,O O B_director I_director
1278,find a list of movies directed by spielberg,O O O O O O O B_director
1279,show me the movies that spielberg made,O O O O O B_director O
1280,can you please search for movies by steven spielberg,O O O O O O O B_director I_director
1281,find movies directed by stephen spielberg,O O O O B_director I_director
1282,find movies directed by stephen spielberg,O O O O B_director I_director
1283,i would like to search for movies directed by stephen spielberg,O O O O O O O O O B_director I_director
1284,list some movies directed by steven spielberg,O O O O O B_director I_director
1285,please find movies directed by stephen spielberg,O O O O O B_director I_director
1286,show me movies directed by steven spielberg,O O O O O B_director I_director
1287,show me the movies directed by steven spielberg,O O O O O O B_director I_director
1288,which movies are from stephen spielberg,O O O O B_director I_director
1289,gilda charles vidor,B_movie B_director I_director
1290,show me movie gilda by charles vidor,O O O B_movie O B_director I_director
1291,find some musical movies,O O B_genre O
1292,looking for a musical movie,O O O B_genre O
1293,show me a list of musicals,O O O O O B_genre
1294,find the movie hum tum,O O O B_movie I_movie
1295,find movies directed by eddie murphy,O O O O B_director I_director
1296,search movies by noah baumbach,O O O B_director I_director
1297,search chick flicks,O B_genre I_genre
1298,can you show me movies about war,O O O O O O B_subject
1299,show me some war themed movies,O O O B_subject O O
1300,show movies concerning war,O O O B_subject
1301,please list movies about war,O O O O B_subject
1302,list movies about war,O O O B_subject
1303,what movies are made by twentieth century fox television,O O O O O B_producer I_producer I_producer I_producer
1304,find movies directed by todd solondz,O O O O B_director I_director
1305,find me movies with hugh jackman,O O O O B_cast I_cast
1306,what ron howard movies are rated pg-13,O B_director I_director O O O B_mpaa_rating
1307,look for dramas made or shot in france,O O B_genre O O O O B_country
1308,find movies from france,O O O B_country
1309,i want to see movies from france,O O O O O O B_country
1310,movies from france,O O B_country
1311,what are all the movies to come out of france,O O O O O O O O O B_country
1312,give me a list of movies made in france,O O O O O O O O B_country
1313,i am looking for movies made in france,O O O O O O O B_country
1314,i want to see a list of movies that were made in france,O O O O O O O O O O O O B_country
1315,i would like to view any movies made in france,O O O O O O O O O B_country
1316,please show me movies made in france,O O O O O O B_country
1317,find movies from france,O O O B_country
1318,find movies from france,O O O B_country
1319,what movies were filmed in france,O O O O O B_country
1320,find french films,O B_country O
1321,find french movies,O B_country O
1322,find french movies,O B_country O
1323,french movies,B_country O
1324,i would like to see french movies,O O O O O B_country O
1325,list french movies,O B_country O
1326,look for french movies,O O B_country O
1327,look up french movies,O O B_country O
1328,show me french movies,O O B_country O
1329,show me only french foreign films,O O O B_country O O
1330,are there any french films showing,O O O B_country O O
1331,show me mystery movies,O O B_genre O
1332,find movies produced by disney pixar,O O O O O B_producer
1333,show me pixar films,O O B_producer O
1334,find movies produced by lucas films,O O O O B_producer O
1335,i would like to find movies starring the singer mario,O O O O O O O O B_cast I_cast
1336,look for movies starring the singer mario,O O O O O B_cast I_cast
1337,search for movies starring the singer mario,O O O O O B_cast I_cast
1338,bring up all diving movies,O O O B_subject O
1339,bring up all diving related movies,O O O B_subject O O
1340,show me all movies about diving,O O O O O B_subject
1341,show me diving movies,O O B_subject O
1342,sort in all diving movies,O O O B_subject O
1343,what is the plot of vulgaria,O O O O O B_movie
1344,find movies by mosfilm,O O O B_producer
1345,search for movies that were produced by mosfilm,O O O O O O O B_producer
1346,what films deal with immigrants in america,O O O O B_subject I_subject I_subject
1347,look for cher movies,O O B_person O
1348,show me cher movies,O O B_person O
1349,eva mendes films,B_person I_person O
1350,the god father,B_movie I_movie I_movie
1351,i need a list of tom hanks movies,O O O O O B_person I_person O
1352,i want to view only movies with tom hanks,O O O O O O O B_cast I_cast
1353,i want to watch movies with tom hanks,O O O O O O B_cast I_cast
1354,list tom hanks movies for me,O B_person I_person O O O
1355,movies with tom hanks,O O B_cast I_cast
1356,show me tom hanks movies,O O B_person I_person O
1357,show tom hanks movies,O B_person I_person O
1358,tell me what movies tom hanks star in,O´O O O B_cast I_cast O O
1359,tom hanks movies,B_person I_person O
1360,watch tom hanks,O B_cast I_cast
1361,what other movies did tom hanks star in,O O O O B_cast I_cast O O
1362,find movies produced by morgan freeman,O O O O B_producer I_producer
1363,producer tom hanks movies,O B_producer I_producer O
1364,what did tom hanks produces,O O B_producer I_producer O
1365,find movies directed by oliver stone,O O O O B_director I_director
1366,find oliver stone directed movies,O B_director I_director O O
1367,i need movies directed by oliver stone,O O O O O B_director I_director
1368,please provide movies directed by oliver stone,O O O O O B_director I_director
1369,show movies directed by oliver stone,O O O O B_director I_director
1370,name all of the movies john singleton has directed,O O O O O B_director I_director O O
1371,what are all of the movies that john singleton has directed,O O O O O O O B_director I_director O O
1372,show me movies in greek,O O O O B_language
1373,are there any movies in greek,O O O O O B_language
1374,can i see all movies starring alan rickman,O O O O O O B_cast I_cast
1375,show me movies with alan rickman,O O O O B_cast I_cast
1376,show movies charlie sheen,O O B_person I_person
1377,funny pg thirteen movies,B_genre B_mpaa_rating I_mpaa_rating O
1378,find movies produced by albert ruddy,O O O O B_producer I_producer
1379,please look up movies produced by albert ruddy,O O O O O O B_producer I_producer
1380,list all movies produced by alfred ruddy,O O O O O B_producer I_producer
1381,search for movies produced by albert ruddy,O O O O O B_producer I_producer
1382,what movies has albert ruddy produced,O O O B_producer I_producer O
1383,what movies have albert ruddy produced,O O O B_producer I_producer O
1384,which movie was produced by albert rudy,O O O O O B_producer I_producer
1385,which all movies are produced by yash chopra,O O O O O O B_producer I_producer
1386,the camp out,B_movie I_movie I_movie
1387,get all brad pitt produced movies,O O B_producer I_producer O O
1388,what movies have brad pitt produced,O O O B_producer I_producer O
1389,what movies were produced by brad pitt,O O O O O B_producer I_producer
1390,find movies starring halle berry,O O O B_cast I_cast
1391,look for films with halle berry,O O O O B_cast I_cast
1392,search movies in which halle berry acted,O O O O B_cast I_cast O
1393,films by mel gibson,O O B_director I_director
1394,search movies made by mel gibson,O O O O B_director I_director
1395,movies by mel gibson,O O B_director I_director
1396,show me a list of movies directed by mel gibson,O O O O O O O O B_director I_director
1397,is this movie a romance,O O O O B_genre
1398,home this movie is in english,O O O O O B_language
1399,hope this movie is in english,O O O O O B_language
1400,i hope this movie would be in english,O O O O O O O B_language
1401,need to provide more info about the movie content,O O O O O O O O O
1402,was what tom cruise's first movie,O O B_person I_person O O O
1403,is the other guys a comedy,O B_movie I_movie I_movie O B_genre
1404,what movies have robert deniro produced,O O O B_producer I_producer O
1405,find me a list of movies directed by james cameron,O O O O O O O O B_director I_director
1406,find movies directed by james cameron,O O O O B_director I_director
1407,i want to find movies by director james cameron,O O O O O O O B_director I_director
1408,list all of the movies directed by james cameron,O O O O O O O B_director I_director
1409,list movies directed by james cameron,O O O O B_director I_director
1410,watch james cameron movies,O B_director I_director O
1411,can you show me a list of all the movies directed by james cameron,O O O O O O O O O O O O B_director I_director
1412,show me a list of all the movies directed by james cameron,O O O O O O O O O O B_director I_director
1413,show me other movies produced by james cameron,O O O O O O B_producer I_producer
1414,show me the movies that james cameron has produced,O O O O O B_producer I_producer O O
1415,find me some warner bros. movies,O O O B_producer I_producer O
1416,i want to see movies produced by warner bros,O O O O O O O B_producer I_producer
1417,show me a list of all warner bros. films,O O O O O O B_producer I_producer O
1418,show me all films produced by warner bros.,O O O O O O B_producer I_producer
1419,show me the movies produced by warner bros,O O O O O O B_producer I_producer
1420,what are the films that warner bros. produced,O O O O O B_producer I_producer O
1421,i need to see some movies from warner brothers,O O O O O O O B_producer I_producer
1422,search for warner brothers movies,O O B_producer I_producer O
1423,i would love to see some movies produced by the wb,O O O O O O O O O O B_producer
1424,what movies has jj abrams procuced,O O O B_producer I_producer O
1425,show recent films starring bruce willis,O B_release_year O O B_cast I_cast
1426,list recent films with actor bruce willis,O O O O O B_cast I_cast
1427,find john cusack movies,O B_person I_person O
1428,get john cusack movies for me,O B_person I_person O O O
1429,look for john cusack movies,O O B_person I_person O
1430,look for wes anderson films,O O B_person I_person O
1431,i would like to know the names of all the movies which have george clooney in them,O O O O O O O O O O O O O B_cast I_cast O O
1432,which are some of the movies that have george clooney in them,O O O O O O O O B_cast I_cast O O
1433,show me some films produced by jon landau,O O O O O O B_producer I_producer
1434,about finding nemo,O B_movie I_movie
1435,about finding nemo,O B_movie I_movie
1436,about finding nemo,O B_movie I_movie
1437,all about finding nemo,O O B_movie I_movie
1438,detail finding nemo,O B_movie I_movie
1439,find me more about finding nemo,O O O O B_movie I_movie
1440,finding nemo,B_movie I_movie
1441,finding nemo,B_movie I_movie
1442,finding nemo details please,B_movie I_movie O O
1443,finding nemo info,B_movie I_movie O
1444,how can i get more information on finding nemo,O O O O O O O B_movie I_movie
1445,i need general information on finding nemo,O O O O O B_movie I_movie
1446,i would like to see finding nemo's page,O O O O O B_movie I_movie O O
1447,information on finding nemo,O O B_movie I_movie
1448,information on finding nemo,O O B_movie I_movie
1449,look up finding nemo,O O B_movie I_movie
1450,open page for finding nemo,O O O B_movie I_movie
1451,please find me some info on finding nemo,O O O O O O B_movie I_movie
1452,run a search for finding nemo for me please,O O O O B_movie I_movie O O O
1453,show details of the original finding nemo,O O O O O B_movie I_movie
1454,show finding nemo,O B_movie I_movie
1455,show me finding nemo,O O B_movie I_movie
1456,show me finding nemo's page,O O B_movie I_movie O O
1457,show me the official site for finding nemo,O O O O O O B_movie I_movie
1458,synopsis for finding nemo,O O B_movie I_movie
1459,synopsis for finding nemo,O O B_movie I_movie
1460,where can i find information on finding nemo,O O O O O O B_movie I_movie
1461,about the campaign,O B_movie I_movie
1462,i would like to get all the information about the the campaign,O O O O O O B_movie O O B_movie B_movie I_movie
1463,run a search for the campaign,O O O O B_movie I_movie
1464,the campaign,B_movie I_movie
1465,what is the campaign about,O O B_movie I_movie O
1466,show me apollo thirteen,O O B_movie I_movie
1467,frank capra movies,B_director I_director O
1468,find movies produced by castle rock entertainment,O O O O B_producer I_producer I_producer
1469,what movies does jake gyllenhaal star in,O O O B_cast I_cast O O
1470,get a list of movies with kristen stewart,O O O O O O B_cast I_cast
1471,kristen stewart top movies,B_cast I_cast O O
1472,show me all movies kristen stewart has been in,O O O O B_cast I_cast O O O
1473,what movies have kristen stewart done,O O O B_cast I_cast O
1474,which movies has kristen stewart been in,O O O B_cast I_cast O O
1475,list movie info kristen stewart,O O O B_person I_person
1476,find movie info kristenn stewart,O O O B_person I_person
1477,movie info kristen stewart,O O B_person I_person
1478,show lionsgate director movies,O B_producer O O
1479,display movies made by production lionsgate,O O O O O B_producer
1480,i want to see a list of lionsgate movies,O O O O O O O B_producer O
1481,lionsgate films,B_producer O
1482,lionsgate list,B_producer O
1483,lionsgate movies,B_producer O
1484,list lionsgate movies,O B_producer O
1485,search for lionsgate movies,O O B_producer O
1486,what movies has lionsgate done,O O O B_producer O
1487,michelle phifer movie list,B_person I_person O O
1488,find danish movies,O B_country O
1489,show me the movies acted by chiranjeevi,O O O O O O B_cast
1490,what movies has charles vidor directed,O O O B_director I_director O
1491,what other movies die charles vidor direct,O O O O B_director I_director O
1492,show me all movies by charles vidor,O O O O O B_director I_director
1493,i'd like to see foreign films,O O O O O O
1494,search for foreign movies,O O O O
1495,what are some universal pictures films,O O O B_producer O O
1496,show me all the movies made by universal,O O O O O O O B_producer
1497,find historical movies,O B_subject O
1498,display the films by 7 arts,O O O O B_producer I_producer
1499,show movies done by 7 arts,O O O O B_producer I_producer
1500,can you show me a korean movie,O O O O O B_country O
1501,find korean movies,O B_country O
1502,korean movie,B_country O
1503,show me korean movies,O O B_country O
1504,i want to watch a korean movie,O O O O O B_country O
1505,find all rated pg-13 movies with eddie murphy,O O O B_mpaa_rating O O B_cast I_cast
1506,twentieth century fox movies since 1990,B_producer I_producer I_producer O O B_release_year
1507,can you show me movies starring denzel washington please,O O O O O O B_cast I_cast O
1508,i want to see movies starring denzel washington,O O O O O O B_cast I_cast
1509,please show me movies starring denzel washington,O O O O O B_cast I_cast
1510,show me movies starring denzel washington,O O O O B_cast I_cast
1511,all the movies by kareena,O O O O B_person
1512,find movies of kareena,O O O B_person
1513,kareena's movies,B_person O O
1514,look for kareena's movies,O O B_person O O
1515,find prison break movies,O B_subject I_subject O
1516,find movies produced by spike lee,O O O O B_producer I_producer
1517,has spike lee produced any films,O B_producer I_producer O O O
1518,search for movies produced by spike lee,O O O O O B_producer I_producer
1519,give me a list of woody allen films,O O O O O B_director I_director O
1520,show all movies directed by woody allen,O O O O O B_director I_director
1521,woody movies,B_director O
1522,please find all movies woody allen has directed,O O O O B_director I_director O O
1523,what movies were directed by woody allen,O O O O O B_director I_director
1524,which movies does gabrielle union come out in,O O O O O O O O
1525,give me anything directed by robert wise,O O O O O B_director I_director
1526,list all robert wise movies,O O B_director I_director O
1527,show me a list of movies directed by robert wise,O O O O O O O O B_director I_director
1528,what are all of the movies directed by robert wise,O O O O O O O O B_director I_director
1529,list all of the movies that have been directed by robert wise,O O O O O O O O O O B_director I_director
1530,what are all movies produced by chris nolan,O O O O O O B_producer I_producer
1531,show me movies in german,O O O O B_language
1532,display movies in german,O O O B_language
1533,do you have in movies in german,O O O O O O B_language
1534,i only want to see movies in german,O O O O O O O B_language
1535,watch movies in german language,O O O B_language I_language
1536,find films in german,O O O B_language
1537,get german language films,O B_language I_language O
1538,show movies in german,O O O B_language
1539,show back to the future movies,O B_movie I_movie I_movie I_movie O
1540,show me back to the future movies,O O B_movie I_movie I_movie I_movie O
1541,movie results for back to the future,O O O B_movie I_movie I_movie I_movie
1542,show me a list of movies that christian bale has starred in during his career,O O O O O O O B_cast I_cast O O O O O O
1543,what are all of the movies acted in by the actor christian bale,O O O O O O O O O O O B_cast I_cast
1544,what are all the movies played in by chrisian bale,O O O O O O O O B_cast I_cast
1545,what movies has christian bale acted in,O O O B_cast I_cast O O
1546,what movies has christian bale appeared in,O O O B_cast I_cast O O
1547,what movies have christian bale played in,O O O B_cast I_cast O O
1548,what movies and upcoming movies will christian bale star in,O O O O O O B_cast I_cast O O
1549,find me movies by jj abrams,O O O O B_person I_person
1550,brad pitt movie now,B_person I_person O O
1551,brad pitt movies,B_person I_person O
1552,can you please list all movies with brad pitt,O O O O O O O B_cast I_cast
1553,can you please list all movies with brad pitt,O O O O O O O B_cast I_cast
1554,can you please list the movies brad pitt has acted in,O O O O O O B_cast I_cast O O O
1555,can you show me a movie with brad pitt,O O O O O O O B_cast I_cast
1556,i want to watch movies with brad pitt,O O O O O O B_cast I_cast
1557,list all brad pitt movies,O O B_person I_person O
1558,list all brad pitt's movies,O O B_person I_person O O
1559,list brad pitt movies,O B_person I_person O
1560,look for movies with brad pitt in them,O O O O B_cast I_cast O O
1561,movie with brad pitt,O O B_cast I_cast
1562,show all brad pitt movies,O O B_person I_person O
1563,show brad pitt movies,O B_person I_person O
1564,show me brad pitt movies,O O B_person I_person O
1565,show movies with brad pitt,O O O B_cast I_cast
1566,what movie brad pitt in,O O B_cast I_cast O
1567,what movies have brad pitt,O O O B_cast I_cast
1568,sort by all brad pitt movies,O O O B_person I_person O
1569,what movies did tom hanks direct that he also starred in,O O O B_director I_director O O O O O O
1570,show me a list of all movies directed by tom hanks starting with newest to oldest,O O O O O O O O O B_director I_director O O O O O
1571,angelina jolie's latest movie,B_person I_person O O O
1572,movies from scotland,O O B_country
1573,give me a list of r rated movies,O O O O O B_mpaa_rating O O
1574,i want to look for movies with an r rating,O O O O O O O O B_mpaa_rating O
1575,i want to see all movies with a r rating,O O O O O O O O B_mpaa_rating O
1576,please look up r rated movies,O O O B_mpaa_rating O O
1577,rate r movies for adult enterainment,O B_mpaa_rating O O O O
1578,show me all r -rated movies,O O O B_mpaa_rating O O
1579,show me movies that are rated r,O O O O O O B_mpaa_rating
1580,find movies with r ratings,O O O B_mpaa_rating O
1581,find rated r movies,O O B_mpaa_rating O
1582,i want to find movies rated r,O O O O O O B_mpaa_rating
1583,i want to view movies that are rated r,O O O O O O O O B_mpaa_rating
1584,look up r rated movies,O O B_mpaa_rating O O
1585,movies with r rating,O O B_mpaa_rating O
1586,r - rated,B_mpaa_rating O O
1587,r rated movies,B_mpaa_rating O O
1588,show me movies with a rating of r,O O O O O O O B_mpaa_rating
1589,what are a list of movies with an r rating,O O O O O O O O B_mpaa_rating O
1590,are there any movies that are rated r,O O O O O O O B_mpaa_rating
1591,compile a list of movies with a r rating,O O O O O O O B_mpaa_rating O
1592,i want an r rated movie,O O O B_mpaa_rating O O
1593,list all rated r movies,O O O B_mpaa_rating O
1594,r rated movies,B_mpaa_rating O O
1595,search for r rated movies,O O B_mpaa_rating O O
1596,show me a list of movies with r rating,O O O O O O O B_mpaa_rating O
1597,show me all rated r movies,O O O O B_mpaa_rating O
1598,show me r movies,O O B_mpaa_rating O
1599,show me r rated movies,O O B_mpaa_rating O O
1600,show only rated r movies,O O O B_mpaa_rating O
1601,what are movies that have a r rating,O O O O O O B_mpaa_rating O
1602,which movies are rated r,O O O O B_mpaa_rating
1603,what other videos does the country norway have,O O O O O O B_country O
1604,a showing of movies that are in spanish,O O O O O O O B_language
1605,can you find movies in spanish,O O O O O B_language
1606,search for movies in spanish,O O O O B_language
1607,spanish language movies,B_language I_language O
1608,i am looking for movies in spanish,O O O O O O B_language
1609,i would like to watch movies that are spoken in spanish,O O O O O O O O O O B_language
1610,list of movies in spanish,O O O O B_language
1611,show me movies in spanish,O O O O B_language
1612,can you show me a list of movies in spanish,O O O O O O O O O B_language
1613,find movies in spanish,O O O B_language
1614,find movies in spanish,O O O B_language
1615,give me movies in spanish,O O O O B_language
1616,i would like a list of movies that have been made in spanish,O O O O O O O O O O O O B_language
1617,movies in spanish,O O B_language
1618,please make a list of movies that have been made in spanish,O O O O O O O O O O O B_language
1619,send me movies that are in spanish,O O O O O O B_language
1620,show me movies in spanish,O O O O B_language
1621,show me movies that are in spanish,O O O O O O B_language
1622,give me swedish films,O O B_country O
1623,show me mexican films,O O B_country O
1624,show me movies made in south africa,O O O O O B_country I_country
1625,list some sci fi movies,O O B_genre I_genre O
1626,show me scifi fantasy movies,O O B_genre I_genre O
1627,find scifi films,O B_genre O
1628,list scifi,O B_genre
1629,what movies did matt damon appear in,O O O B_cast I_cast O O
1630,sound of music robert wise,B_movie I_movie I_movie B_director I_director
1631,can i watch a terry george film tonight,O O O O B_director I_director O O
1632,get a list of animated films,O O O O B_genre O
1633,show me movies that are about scary zombies,O O O O O O B_subject I_subject
1634,is there a movie about the zombie apocolypse,O O O O O O B_subject I_subject
1635,i want to see a list about zombie horror films,O O O O O O O B_subject B_genre O
1636,find some zombie movies,O O B_subject O
1637,find zombie movies,O B_subject O
1638,get list of zombie movies,O O O B_subject O
1639,give me a list of zombie movies,O O O O O B_subject O
1640,i want to find zombie movies,O O O O B_subject O
1641,i want to see zombie movies,O O O O B_subject O
1642,see zombie movies,O B_subject O
1643,show me zombie movies,O O B_subject O
